번호,모델,지역,가격,시세,차량번호,연식,주행거리,연료,변속기,배기량,색상
1,벤츠 CLE클래스 (C236) CLE 450 4MATIC 쿠페 기본형,경기,"7,500만원",적정,234더8950,24년04월(24년형),"14,000km",하이브리드(가솔린),오토,"2,999cc",검정색
2,BMW M시리즈 M4 쿠페 Competition M xDrive (G82),경기,"8,700만원",적정,340어5584,23년02월(23년형),"54,000km",가솔린,오토,"2,993cc",흰색
3,포르쉐 718 박스터 2.5 GTS,경기,"8,220만원",적정,342거3161,19년12월(20년형),"19,237km",가솔린,오토,"2,497cc",검정색
4,재규어 F-TYPE 2.0 P300 컨버터블,경기,"4,300만원",적정,45루7757,18년08월(19년형),"75,026km",가솔린,오토,"1,997cc",흰색
5,포드 올뉴머스탱 GT 쿠페 프리미엄,경기,"6,690만원",적정,188다1891,24년05월(24년형),"16,111km",가솔린,오토,"5,038cc",검정색
6,BMW i8 1.5 쿠페 하이브리드,경기,"5,790만원",낮음,122수6666,16년03월(15년형),"99,406km",하이브리드(가솔린),오토,"1,499cc",흰색
7,벤츠 SLC클래스 (R172) SLC 250,경기,"3,150만원",낮음,316도3881,19년09월(19년형),"55,341km",가솔린,오토,"1,991cc",흰색
8,포드 올뉴머스탱 컨버터블 프리미엄,경기,"3,220만원",적정,367누4106,19년09월(19년형),"44,877km",가솔린,오토,"2,261cc",흰색
9,BMW M시리즈 M4 컨버터블 F83(15년~),경기,"5,020만원",적정,159누2636,17년11월(18년형),"65,309km",가솔린,오토,"2,979cc",빨강색
10,BMW 올 뉴 Z4 sDrive 20i M 스포츠 패키지,경기,"4,890만원",적정,188두2355,21년08월(21년형),"39,908km",가솔린,오토,"1,998cc",검정색
11,포르쉐 Taycan Cross Turismo 4S,경기,"12,200만원",적정,66고7766,22년06월(22년형),"20,770km",전기,오토,129cc,빨강색
12,포르쉐 Taycan Base,경기,"10,400만원",적정,29고8847,22년06월(22년형),"36,132km",전기,오토,129cc,미색
13,포르쉐 뉴 911 카레라 4 991(12~),경기,"13,500만원",적정,101어9640,20년07월(20년형),"45,458km",가솔린,오토,"2,981cc",검정색
14,재규어 F-TYPE 3.0SC S 쿠페 기본형,경기,"4,099만원",낮음,25나7039,17년07월(17년형),"67,287km",가솔린,오토,"2,995cc",회색
15,포르쉐 911 카레라 4 GTS,경기,"20,200만원",적정,382어9516,23년08월(23년형),"3,006km",가솔린,오토,"2,981cc",흰색
16,재규어 F-TYPE 3.0SC S 쿠페 AWD,인천,"3,100만원",적정,231더5050,17년03월(17년형),"97,902km",가솔린,오토,"2,995cc",회색
17,포드 올뉴머스탱 쿠페 프리미엄,인천,"2,530만원",적정,46모3820,18년10월(19년형),"57,331km",가솔린,오토,"2,261cc",검정색
18,포르쉐 911 카레라 S 993,경기,"13,200만원",적정,381나8511,21년05월(21년형),"48,809km",가솔린,오토,"2,981cc",회색
19,벤츠 AMG GT GT 4door 43 4MATIC+ 기본형,인천,"6,900만원",적정,116다8229,20년03월(20년형),"58,960km",가솔린,오토,"2,999cc",흰색
