번호,시퀀스
1,26719824
2,26725302
3,26651706
4,26511852
5,26656783
6,26704611
7,26670879
8,26650244
9,26602468
10,26468812
11,26589362
12,25569678
13,26343221
14,26723985
15,26702185
16,26692619
17,26683546
18,26640521
19,26633218
20,26604389
21,26540301
22,26429296
23,26375407
24,25794839
25,26268515
26,26021818
27,26012781
28,26204377
29,26719824
30,26651706
31,26719576
32,26564318
33,26452428
34,26389714
35,26715297
36,26637134
37,26610289
38,26575709
39,26347152
40,26707292
41,26723985
42,26704611
43,26702185
44,26692619
45,26683546
46,26670879
47,26650244
48,26640521
49,26633218
50,26604389
51,26602468
52,26540301
53,26468812
54,26429296
55,26375407
56,26268515
57,26021818
58,26012781
59,25794839
60,26741028
61,26700113
62,26545700
63,26712722
64,26566866
65,26398034
66,26372769
67,26621367
68,26700654
69,26363686
70,26058400
71,26470172
72,26745587
73,26565513
74,26651550
75,26709335
76,26557766
77,26617996
78,26693937
79,26160220
80,26447516
81,26672623
82,26667070
83,26561435
84,26726872
85,26588698
86,26744097
87,26392646
88,26038795
89,26523491
90,26730556
91,26743109
92,26426908
93,26620410
94,26283955
95,26518361
96,26543435
97,26599011
98,26724914
99,26639966
100,26731908
101,26466817
102,26662972
103,26490705
104,26359392
105,26741160
106,26741144
107,26741135
108,26392915
109,26325964
110,26371752
111,26536544
112,26661172
113,26729369
114,26678086
115,26498711
116,26737160
117,26738993
118,26738719
119,26738573
120,26641538
121,26641519
122,26737873
123,26737365
124,26737354
125,26210427
126,26409724
127,26737013
128,26733528
129,26732926
130,26732685
131,26228594
132,26624196
133,26731922
134,26731575
135,26301492
136,26721213
137,26440356
138,26729048
139,26499220
140,26726584
141,26726438
142,26726269
143,26723987
144,26723106
145,26722967
146,26722806
147,26722180
148,26722094
149,26721809
150,26343015
151,26720568
152,26720009
153,26596392
154,26333200
155,26369208
156,26702382
157,26597320
158,26479019
159,26587137
160,26717338
161,26716710
162,26716185
163,26715971
164,26715656
165,26392481
166,26684286
167,26204377
168,26602426
169,26656775
170,26711336
171,26451343
172,26709911
173,26709578
174,26490278
175,26707830
176,26707718
177,26707374
178,26707020
179,26691265
180,26704941
181,26704641
182,26704637
183,26704518
184,26703912
185,26702209
186,26698737
187,26308264
188,26697563
189,26695225
190,26695081
191,26693271
192,26484809
193,26371759
194,26369790
195,26435186
196,26691290
197,26689702
198,26689624
199,26687429
200,26685265
201,26684995
202,26684513
203,26682575
204,26338521
205,26268929
206,26674440
207,26608911
208,26672085
209,26414578
210,26665484
211,26665345
212,26660265
213,26660201
214,26438457
215,26658921
216,26657068
217,26656319
218,26471532
219,26654516
220,26305863
221,26384673
222,26170396
223,26293024
224,26302121
225,26353517
226,26495669
227,26319462
228,26409338
229,26511747
230,26559635
231,26573477
232,26579081
233,26634079
234,26604300
235,26619179
236,26621648
237,26282187
238,26337293
239,26410886
240,26436339
241,26640659
242,26652131
243,26537679
244,26570529
245,26617066
246,26652736
247,26652092
248,26500432
249,26649430
250,26648626
251,26648616
252,26327064
253,26328839
254,26644233
255,26640522
256,26266632
257,26635026
258,26588142
259,26631735
260,26389324
261,26537356
262,26624221
263,26621338
264,26619743
265,26619291
266,26522272
267,26617746
268,26617692
269,26617030
270,26399024
271,26612618
272,26609799
273,26608985
274,26608582
275,26343478
276,26605748
277,26605585
278,26605470
279,26600262
280,26598663
281,26477046
282,26593964
283,26592556
284,26592465
285,26542081
286,26584371
287,26583866
288,26582498
289,26321703
290,26375368
291,26568058
292,26568054
293,26568053
294,26560960
295,26560539
296,26558315
297,26553390
298,26263150
299,26545874
300,26539989
301,25977710
302,26265709
303,26533640
304,26533273
305,26533055
306,26527952
307,26397519
308,26409028
309,26523667
310,26403281
311,26517851
312,26389491
313,26516126
314,26515210
315,26498042
316,26378784
317,26508568
318,26507500
319,26504094
320,26306460
321,26500687
322,26383716
323,26499116
324,26497203
325,26494760
326,26493644
327,26488254
328,26372713
329,26485021
330,26484981
331,26484842
332,26293413
333,26477587
334,26474857
335,26470338
336,26468564
337,26467154
338,26462821
339,26461760
340,26456276
341,26450794
342,26444178
343,26439637
344,26438643
345,26430307
346,26430153
347,26428722
348,25960051
349,26426195
350,26425479
351,26419344
352,26414703
353,26413564
354,26413106
355,26409206
356,26404390
357,26405853
358,26403276
359,26403060
360,26389998
361,26389469
362,26320647
363,26380820
364,26328114
365,26380597
366,26380016
367,26375834
368,26373389
369,26369631
370,26367358
371,26365522
372,26365320
373,26352715
374,26349712
375,26343203
376,26341043
377,26306404
378,26299036
379,26298451
380,26287309
381,26285374
382,26276032
383,26275202
384,26228808
385,26162009
386,26115716
387,26747425
388,26238366
389,26733154
390,25047668
391,26747356
392,26747354
393,26588268
394,26309176
395,26364130
396,26364097
397,26355581
398,26406467
399,26652525
400,26617697
401,26696037
402,26674809
403,26671782
404,26713826
405,26587020
406,26716928
407,26174496
408,26105090
409,26289391
410,26522223
411,26744803
412,26231229
413,23630575
414,26742837
415,25648406
416,26719654
417,26719543
418,26678471
419,26538840
420,26132668
421,26066269
422,26514241
423,26514240
424,25212514
425,26556265
426,26171005
427,26254634
428,26274360
429,25681163
430,25588957
431,26452081
432,26733313
